Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
Nebraska,US,6/13/2020,41.70759415,-98.06737183,7,0,0,7,0
West Virginia,US,6/13/2020,38.01974191,-81.69888019,17,0,0,17,0
Texas,US,6/13/2020,31.89978581,-97.63613524,7,0,0,7,0
Louisiana,US,6/13/2020,32.67932307,-93.60460152,494,27,0,467,0
Virginia,US,6/13/2020,37.55531756,-79.80982182,47,4,0,43,0
North Dakota,US,6/13/2020,48.79106111,-100.8378166,4,0,0,4,0
Colorado,US,6/13/2020,40.09313619,-105.3546767,1065,69,0,996,0
Idaho,US,6/13/2020,48.76684761,-116.4630179,0,0,0,0,0
Kansas,US,6/13/2020,37.85508555,-94.84865997,8,1,0,7,0
Kentucky,US,6/13/2020,38.2054607,-84.21827874,24,1,0,23,0
Texas,US,6/13/2020,33.44626922,-94.41834132,370,7,0,363,0
North Dakota,US,6/13/2020,46.11285362,-103.5203343,1,0,0,1,0
Nebraska,US,6/13/2020,42.22079243,-103.08788340000001,3,0,0,3,0
Kentucky,US,6/13/2020,38.36176608,-82.68652187,44,3,0,41,0
Nebraska,US,6/13/2020,42.899727399999996,-98.76486568,1,0,0,1,0
Kentucky,US,6/13/2020,37.62680923,-84.8633779,30,0,0,30,0
Kentucky,US,6/13/2020,38.69158994,-84.08532444,14,0,0,14,0
Florida,US,6/13/2020,29.95079741,-82.16611613,52,2,0,50,0
Pennsylvania,US,6/13/2020,41.78869215,-76.51570822,47,3,0,44,0
Arkansas,US,6/13/2020,33.46755808,-92.15980837,34,1,0,33,0
Tennessee,US,6/13/2020,35.15739424,-84.857186,272,2,0,270,0
Michigan,US,6/13/2020,41.91600556,-85.05929476,164,2,0,162,0
Georgia,US,6/13/2020,31.19576557,-81.97743999,68,2,0,66,0
West Virginia,US,6/13/2020,38.70036159,-80.72011184,3,0,0,3,0
Texas,US,6/13/2020,29.18757369,-95.44563172,813,11,0,802,0
Texas,US,6/13/2020,30.663644800000004,-96.30205577,721,24,0,697,0
